DATE,BLAST,Pit,Ore/Waste,Type of Material,Diameter,Lenght,Length Total,Subdrill,Burden,Spacing,Stemming,Total of Holes,Weight (kg),BCM,PF (kg/m3),Meters Drilled (m),Burden Old,Spacing Old,Stemming Old,Total of Holes Old,Weight Old,PF (kg/m3) Old,Meters Drilled Old,D20,D50,D80,Xmas (mm),Uniformity index,Initiation System,Number of Photos Analysed,Actual powder factor,Planned powder factor,Passing on 600 mm pourcentage
2025-09-08 00:00:00,Hn2_147-141_103,2,1,10140,140,6,7.2,1.2,3.1,3.6,2.5,365,31627,24440,1.3,2618,3.2,3.4,2.5,374.39,32051.96,1.31,2685.33,131.65,218.99,359.75,598,2.38,Nonel,6,1.3,1.20,100
2025-09-08 00:00:00,Hn2_147-141_104,2,1,10140,140,6,7.2,1.2,3.1,3.6,2.5,567,47130,37966,1.2,3943,3.2,3.4,2.5,581.59,47462.83,1.25,4044.44,58.11,201.46,441.89,987,1.23,Nonel,6,1.2,1.20,88.57
2025-09-08 00:00:00,Hn2_147-141_105p2,2,1,10140,140,6,7.2,1.2,3.1,3.6,2.5,160,16289,10714,1.4,1254,3.2,3.4,2.5,164.12,16050.33,1.50,1286.32,60.48,137.85,282,501,1.37,Nonel,6,1.4,1.20,100
2025-09-08 00:00:00,Hn2_147-141_301,2,1,10140,140,6,7.2,1.2,3.1,3.6,2.5,123,5075,5792.04,0.9,519,3.2,3.4,2.5,126.17,3974.85,0.69,532.36,71.11,71.48,211.4,471,1.3,Nonel,7,0.9,1.20,100
2025-09-10 00:00:00,VIM3_291-279_110,3,2,30152,152,12,13,1,4,4.6,3.5,117,24348,25834,0.9,1506,3.9,4.2,3.5,122.53,24800.88,0.96,1577.17,50.04,118.02,290.58,953,1.47,Nonel,6,0.9,0.93,95.99
2025-09-13 00:00:00,Kw_280-270_102,40,1,10152,152,10,11,1,3.9,4.3,2.4,586,97570,96092.1,1.0,5730,3.7,4.3,2.4,617.68,98426.97,1.02,6039.73,33.98,110.91,256.24,1446,1.24,electronic,6,1.0,1.11,100
2025-09-19 00:00:00,Kw_280-270_101p2,40,1,10152,152,10,11,1,3.9,4.3,2.8,726,117281,120760.77,1.0,7201,3.8,4.2,2.8,762.85,117285.74,0.97,7566.46,53.62,128.04,305.35,623,1.42,electronic,6,1.0,1.02,94.84
2025-09-30 00:00:00,Kw_280-270_103,40,1,10152,152,10,11,1,3.5,4,2.6,535,82982,71960,1.2,5140,3.5,3.8,2.6,563.16,85231.00,1.18,5410.53,80.62,148.85,279.98,754,1.97,electronic,6,1.2,1.25,98.85
2025-09-30 00:00:00,Kw_280-270_105p2,40,1,10152,152,10,11,1,3.9,4.3,2.8,11,1828,1895.01,1.0,113,3.8,4.2,2.8,11.87,1916.30,1.01,121.97,77.81,165.82,345.86,697,1.72,electronic,5,1.0,1.02,98.5
2025-10-02 00:00:00,VIM3_291-279_902,3,2,30152,152,12,1,13,4,4.6,3.5,250,40225,51115.2,0.8,2778,3.8,4.3,3.5,281.52,46281.81,0.91,3128.23,27.12,60.3,178.95,637,1.41,Electronic,6,0.8,0.93,100
2025-10-03 00:00:00,Kw_280-270_105p3,40,1,10152,152,10,1,11,3.9,4.3,2.8,31,5380,5198.7,1.0,323,3.8,4.2,2.8,31.26,5144.52,0.99,325.73,43.93,95.59,206.1,472,1.58,Electonic,6,1.1,1.19,100
2025-10-05 00:00:00,VIM3_291-279_113,3,2,30165,165,12,1,13,4.4,4.4,3.5,351,79865,81544,1.0,4355,4,4.3,3.5,395.08,89561.24,1.10,4901.89,38.54,105.74,291.1,604,1.37,Nonel,7,1.0,1.04,98.86
2025-10-07 00:00:00,Kp_240-230_130,30,2,10152,152,10,1.2,11.2,3.8,4.4,2.8,54,9056,9029,1.0,570.2,3.8,4.2,2.8,56.57,9480.53,1.05,597.37,34.4,91.2,206.82,453,1.38,Nonel,5,1.0,1.08,100
2025-10-07 00:00:00,Kp_240-230_131,30,1,10152,152,10,1.2,11.2,3.8,4.3,2.8,38,6122,6209,1.0,390,3.8,4.1,2.8,39.85,6423.66,1.03,409.01,37.76,78.72,173.35,383,1.68,Nonel,6,1.1,1.11,100
2025-10-10 00:00:00,VIM3_291-279_114,3,2,30165,165,12,1,13,4.4,4.4,3.5,892,235007,207229,1.1,11567,4,4.3,3.5,1004.02,241914.60,1.17,13019.57,34.42,81.14,208.88,553,1.44,Nonel,7,1.1,1.11,100
2025-10-13 00:00:00,Kp_240-230_131p2,40,1,10152,152,10,1.2,11.2,3.8,4.3,2.8,131,23027,21405.4,1.1,1422,3.8,4.1,2.8,126.57,22018.96,1.03,1373.90,37.76,78.72,173.35,383,1.68,Nonel,6,1.1,1.11,100
2025-10-27 00:00:00,VIM3_291-279_118,3,2,30165,165,12,1,13,4.4,4.4,3,484,137127,112443,1.2,6622,4,4.4,3,532.40,144733.86,1.29,7284.21,45.78,99.05,235.92,519,1.64,Nonel,6,1.2,1.2,100
2025-10-27 00:00:00,VIM3_291-279_119,3,2,30165,165,12,1,13,4.4,4.4,3,420,96773,93663.68,1.0,4838,4,4.4,3,462.00,100165.80,1.07,5321.80,45.5,99.83,291.36,581,1.47,Nonel,6,1.1,1.1,100
2025-10-29 00:00:00,Kp_240-230_128,30,2,10152,152,10,1.2,11.2,3.8,4.4,2.8,409,67509,68385,1.0,4167,3.8,4.2,2.8,428.48,68371.66,1.00,4365.44,33.44,78.29,200.22,442,1.52,Nonel,5,1.0,1.08,100
2025-10-29 00:00:00,Kp_240-230_130,30,2,10152,152,10,1.2,11.2,3.8,4.4,2.8,126,21803,21067,1.0,1324,3.8,4.2,2.8,132.00,21974.23,1.04,1387.03,34.4,91.2,206.82,453,1.38,Nonel,5,1.0,1.08,100
2025-11-06 00:00:00,VIM3_279-267_106p1,3,2,30165,165,12,13,1,4,4.6,3,32,10044,7065.6,1.2,437,3.9,4.2,3,35.95,9748.66,1.38,490.89,42.9,82.96,153.56,461,1.85,Nonel,6,1.1,1.15,100
2025-11-09 00:00:00,VIM3_279-267_105p1,3,2,30165,165,12,13,1,4,4.6,3,32,8543,7065.6,1.2,422,3.9,4.2,3,35.95,9319.83,1.32,474.04,42.46,136.49,286.58,557,1.38,Nonel,6,1.1,1.15,100
2025-11-09 00:00:00,VIM3_279-267_106p2,3,2,30165,165,12,13,1,4,4.6,3,343,95664,75734.4,1.1,4688,3.9,4.2,3,385.30,104605.08,1.38,5266.13,42.9,82.96,153.56,461,1.85,Nonel,6,1.1,1.15,100
2025-11-15 00:00:00,VIM3_279-267_105p2,3,2,30165,165,12,13,1,4,4.6,3,235,65419,51888,1.1,3143,3.9,4.2,3,263.98,69698.60,1.34,3530.60,42.46,136.49,286.58,557,1.38,Nonel,6,1.1,1.15,100
2025-11-15 00:00:00,VIM3_279-267_104p1,3,2,30165,165,12,13,1,4,4.6,3,192,57072,42393.6,1.2,2687,3.9,4.2,3,215.68,60350.18,1.42,3018.36,36.12,108.42,257.58,568,1.31,Nonel,6,1.2,1.15,100
2025-11-17 00:00:00,VIM3_279-267_104p2,3,2,30165,165,12,13,1,4,4.6,3,314,86316,69331.2,1.2,4062,3.9,4.2,3,352.72,89195.92,1.29,4562.93,36.12,108.42,257.58,568,1.31,Nonel,6,1.2,1.15,100
2025-11-17 00:00:00,VIM3_279-267_903,3,2,30165,165,12,13,1,4,4.6,3,233,68335,51446.4,1.2,3215,3.9,4.2,3,261.73,71928.50,1.40,3611.48,45.17,155.16,319.58,569,1.33,Nonel,6,1.2,1.15,100
2025-11-22 00:00:00,Hn2_141-129_109,2,1,10152,152,12,13.2,1.2,3.5,4,3.5,212,36881,35616,1.0,2330,3.3,3.6,3.5,272.78,44129.50,1.24,2997.98,57.33,114.14,241.34,522,1.9,Nonel,6,1.1,1.15,100
2025-11-30 00:00:00,VIM3_267-255_107,3,2,30152,152,12,13,1,3.7,4.2,13,369,80008,68811.12,1.2,4898.2,3.6,3.9,3,408.42,90628.82,1.32,5421.51,50.55,102.94,245.73,547,1.63,Electronic,6,1.2,1.15,100
2025-12-04 00:00:00,Kp_230-220_122,30,1,10165,165,10,11.2,1.2,3.9,4.5,2.7,299,63071,52475,1.2,3270,3.9,4.1,2.7,300.07,62900.51,1.20,3281.74,43.28,88.25,196.32,488,1.69,Electronic,8,1.2,1.15,100
2025-12-04 00:00:00,Kp_230-220_122-new,30,2,10152,152,10,11.2,1.2,3.7,4.3,2.7,29,5320,4614,1.2,286,3.7,4.1,2.7,30.42,4704.75,1.02,299.96,43.28,88.25,196.32,488,1.69,Electronic,8,1.2,1.15,100
2025-12-05 00:00:00,VIM3_267-255_103,3,1,30165,165,12,13,1,4,4.6,3,310,84858,68448,1.2,4225,3.9,4.2,3,306.61,82939.62,1.21,4178.75,40.55,93.06,218.3,520,1.47,Nonel,5,1.2,1.15,100
2025-12-05 00:00:00,VIM3_267-255_106p2,3,2,30165,165,12,13,1,4,4.6,3,4,1127,883,1.3,56,3.9,4.2,3,3.85,1077.95,1.22,53.91,37.29,86.33,203.02,471,1.52,Nonel,6,1.2,1.15,100
2025-12-05 00:00:00,VIM3_267-255_110,3,1,30165,165,12,13,1,4,4.6,3,6,1565,1325,1.2,80,3.9,4.2,3,6.07,1595.48,1.20,80.89,33.3,70.15,171.52,377,1.54,Nonel,7,1.2,1.15,100
